text_id,title,text,topic,topic_semantic
T0001,APOE ε4 allele and Alzheimer disease risk,The rs429358 variant in the APOE gene is strongly associated with increased Alzheimer disease risk across multiple populations. This variant increases disease risk by approximately 3-fold in heterozygotes and 15-fold in homozygotes.,4,1
T0002,TREM2 variants in neurodegeneration,"Rare coding variants in TREM2, including rs75932628, significantly affect microglial function and increase risk for late-onset Alzheimer disease. The R47H variant increases AD risk approximately 3-fold.",4,4
T0003,BIN1 locus and tau pathology,Common variants near BIN1 at rs744373 are associated with Alzheimer disease risk. BIN1 variants modulate tau pathology and affect endosomal trafficking in neurons.,4,4
T0004,CLU genetic associations in AD,The clusterin gene CLU contains several variants including rs11136000 that are linked to Alzheimer disease susceptibility. Clusterin influences amyloid-beta clearance and aggregation.,0,3
T0005,CR1 complement receptor variants,"Variants in the complement receptor 1 gene CR1, particularly rs6656401, contribute to AD risk through altered complement cascade regulation and amyloid clearance mechanisms.",2,4
T0006,PICALM endocytosis and AD,The PICALM gene variant rs3851179 affects clathrin-mediated endocytosis and is associated with reduced Alzheimer disease risk. PICALM influences APP processing and amyloid-beta production.,3,3
T0007,MS4A gene cluster associations,Multiple variants in the MS4A gene cluster including rs983392 are implicated in Alzheimer disease pathogenesis through immune cell function modulation.,4,4
T0008,CD33 myeloid cell receptor,The rs3865444 polymorphism in CD33 affects microglial clearance of amyloid-beta plaques and modulates Alzheimer disease risk in multiple populations.,4,4
T0009,ABCA7 lipid transport,"Loss-of-function variants in ABCA7, including rs3764650, increase AD susceptibility. ABCA7 regulates lipid homeostasis and affects amyloid processing in the brain.",1,2
T0010,SORL1 and APP trafficking,Variants in SORL1 such as rs11218343 influence APP trafficking and processing. SORL1 dysfunction leads to increased amyloid-beta production and Alzheimer disease risk.,3,1
T0011,GWAS meta-analysis identifies novel loci,"Large-scale genome-wide association study meta-analysis identified 29 risk loci for Alzheimer disease including ZCWPW1, ADAMTS1, and HESX1 variants at genome-wide significance.",1,3
T0012,PTK2B signaling in AD,The protein tyrosine kinase PTK2B contains variant rs28834970 linked to cognitive decline and Alzheimer disease. PTK2B regulates calcium signaling in neurons.,0,4
T0013,SPI1 transcription factor variants,Variants near SPI1 at rs1057233 affect myeloid cell gene expression and are associated with Alzheimer disease risk through altered microglial function.,4,4
T0014,INPP5D phosphatase and immunity,The immune-related phosphatase gene INPP5D harbors rs35349669 which modulates microglial responses and contributes to AD pathogenesis.,2,4
T0015,MEF2C neuronal transcription,MEF2C transcription factor variants including rs190982 are linked to Alzheimer disease and regulate neuronal survival and synaptic function genes.,0,4
T0016,NME8 ciliary function,Rare variants in NME8 affect ciliary function and are associated with increased risk of cognitive impairment and Alzheimer disease in specific populations.,4,4
T0017,ZCWPW1 histone binding,The histone-binding protein ZCWPW1 contains variant rs1476679 associated with Alzheimer disease risk. ZCWPW1 may influence chromatin remodeling in neurons.,4,4
T0018,CASS4 cytoskeletal regulation,Variants in CASS4 at rs7274581 affect cytoskeletal dynamics and are linked to Alzheimer disease through altered neuronal morphology and connectivity.,0,4
T0019,FERMT2 integrin signaling,The FERMT2 gene variant rs17125944 modulates integrin signaling pathways and contributes to Alzheimer disease susceptibility through blood-brain barrier dysfunction.,2,1
T0020,HLA-DRB1 immune associations,Major histocompatibility complex variants in HLA-DRB1 including rs9271192 are associated with AD risk and influence immune responses to amyloid pathology.,1,2
T0021,EPHA1 receptor tyrosine kinase,The ephrin receptor EPHA1 contains variants such as rs11767557 that affect synaptic plasticity and are linked to Alzheimer disease cognitive decline.,0,4
T0022,CD2AP adaptor protein,"CD2AP variants at rs9349407 influence cytoskeletal organization and blood-brain barrier integrity, contributing to Alzheimer disease pathogenesis.",2,4
T0023,CELF1 RNA binding protein,The RNA-binding protein CELF1 harbors variant rs10838725 associated with cognitive impairment. CELF1 regulates alternative splicing in neurons affected by AD.,4,0
T0024,TRIP4 transcriptional coactivator,Variants in TRIP4 including rs74615166 are linked to Alzheimer disease and may affect transcriptional regulation of genes involved in neuronal function.,0,4
T0025,ACE angiotensin converting enzyme,The ACE gene contains polymorphisms such as rs1800764 that influence blood pressure regulation and are associated with increased dementia risk.,4,4
T0026,MAPT tau protein variants,"Although primarily linked to frontotemporal dementia, MAPT variants including rs242557 influence tau protein structure and contribute to Alzheimer disease neuropathology.",1,4
